Time,HPããìíã@è¡îÔìdóÕ[kWÅE30ï™],îMé˘óv[kWÅE30ï™],îMêªë¢ó [MJÅE30ï™],íôìíó [MJ],ê¨ê—åWêî,â^ì]ïœêî,â^ì]äJénïœêî,â^ì]èIóπïœêî,ìdãCóøã‡[JPYÅE30min/kW]
2003/4/1 7:30,9.739733892939212e-09,0.88930648,1.3484356031767675e-07,40.78798514907248,4.4702399999999995,1.86150010204692e-08,1.1112506037293203e-08,9.469348122179747e-11,14.495
2003/4/1 8:00,0.00920434870891189,2.230555471,0.12656218540746522,38.683991863479946,4.68685,0.01562496273656972,0.01562494443856515,3.1700147193019595e-10,14.495
2003/4/1 8:30,0.016286589955593088,2.230555471,0.2531249985341617,36.706561391014105,4.87041,0.031250000116050336,0.015625037606554808,2.2707921530027848e-10,14.495
2003/4/1 9:00,0.03234778305123807,0.0,0.5062500029484411,37.212811393962546,4.90522,0.06250000051760433,0.03125000061461347,2.130642324675808e-10,14.495
2003/4/1 9:30,0.06425113828468407,0.0,1.0125000056511475,38.225311399613695,4.940029999999999,0.1250000008084149,0.06250000064179531,3.5099050273058896e-10,14.495
2003/4/1 10:00,0.126156127364236,0.0,2.025000013029832,40.250311412643526,5.034329999999999,0.2500000016869464,0.1250000009862048,1.0767925547126824e-10,14.495
2003/4/1 10:30,0.24779250940559827,0.0,4.050000007768273,44.3003114204118,5.128629999999999,0.5000000010253721,0.2500000006369242,1.2985019267011145e-09,14.495
2003/4/1 11:00,0.49294600861716004,0.0,8.09999992199419,52.40031134240599,5.156829999999999,0.9999999905089367,0.499999995381731,5.898170667506166e-09,14.495
2003/4/1 11:30,0.4903357052684601,0.0,8.099999846574141,60.500311188980135,5.185029999999999,0.9999999811042432,0.4999999906224295,0.5000000000271261,14.495
2003/4/1 12:00,0.4244646238660403,0.0,6.850236538287852,67.35054772726798,5.062339999999999,0.8457082146391619,0.42285410738093343,0.5771458738460198,14.495
2003/4/1 12:30,8.310556570162551e-09,0.0,1.307247959964281e-07,67.35054785799278,4.9396499999999985,1.621171176896676e-08,8.217233473217321e-09,0.8457082066446898,14.495
2003/4/1 13:00,6.07681279077734e-09,0.0,9.539959933135833e-08,67.35054795339238,4.9307099999999995,1.1843849815260495e-08,6.008736086810666e-09,1.0376603074900453e-08,14.495
2003/4/1 13:30,5.340791423768161e-09,0.0,8.363961033548586e-08,67.35054803703198,4.921769999999999,1.038688058794652e-08,5.30741784009224e-09,6.7643921017931236e-09,14.495
2003/4/1 14:00,2.701548407526557e-09,0.0,4.1539664152878686e-08,67.35054807857165,4.842829999999999,5.215494925155699e-09,2.702207239224183e-09,7.87359793640022e-09,14.495
2003/4/1 14:30,1.976717471194846e-09,0.0,2.98754908354872e-08,67.35054810844714,4.770499999999999,3.758906104736554e-09,1.9957089813080376e-09,3.452302836111338e-09,14.495
2003/4/1 15:00,9.337763473350095e-10,0.0,1.3592426739705843e-08,67.35054812203957,4.6411999999999995,1.7894922021572524e-09,1.000441340391182e-09,2.9698602773568634e-09,14.495
2003/4/1 15:30,8.285299385461096e-10,0.0,1.1663592604391353e-08,67.35054813370316,4.518509999999999,1.5578629821215159e-09,9.162758334296226e-10,1.147910087851315e-09,14.495
2003/4/1 16:00,4.1351881496047843e-10,0.0,5.472230668601696e-09,67.35054813917539,4.360819999999999,8.122000569198251e-10,5.27050859478996e-10,1.272718819066484e-09,14.495
2003/4/1 16:30,4.723195024990266e-10,0.0,6.096454248776842e-09,67.35054814527184,4.209739999999999,8.533201078785766e-10,5.515188080419982e-10,5.104037914689379e-10,14.495
2003/4/1 17:00,2.51115494634938e-10,0.0,2.929709808086045e-09,67.35054814820155,4.05866,5.258655731361625e-10,3.947513534650965e-10,7.222109225932018e-10,14.495
2003/4/1 17:30,1.9236858283419161e-10,0.0,2.1675097527257173e-09,67.35054815036906,3.900969999999999,3.821197460810373e-10,2.865771966635095e-10,4.303280581045377e-10,14.495
2003/4/1 18:00,1.1046911556697905e-10,0.0,9.883791562970146e-10,67.35054815135744,3.802389999999999,3.2514627713379957e-10,2.8761014737205676e-10,3.4458865070519746e-10,14.495
2003/4/1 18:30,2.1207288584891292e-10,0.0,2.574997512582859e-09,67.35054815393244,4.16651,4.334803799655687e-10,3.218831297704175e-10,2.1355406132444545e-10,14.495
2003/4/1 19:00,1.2496102439649318e-10,0.0,1.3109655583321e-09,67.3505481552434,4.11382,3.419247587930315e-10,2.924978711116751e-10,3.8405852666995643e-10,14.495
2003/4/1 19:30,1.1869889541284724e-10,4.257007883,1.2100613844268082e-09,63.09354027345346,4.074349999999999,3.3088742299617553e-10,2.888149265556797e-10,2.998572967382798e-10,14.495
2003/4/1 20:00,1.1806894585156715e-10,2.901180093,1.2108074542993563e-09,60.19236018166427,4.096509999999999,3.2652242194791424e-10,2.887697391795995e-10,2.931397746136049e-10,14.495
2003/4/1 20:30,1.0925799314548142e-10,1.341249119,1.0755485391200637e-09,58.85111106373982,4.045959999999999,3.1388125365442247e-10,2.817347197700487e-10,2.943809224492317e-10,14.495
2003/4/1 21:00,1.0558635767345179e-10,3.57180459,1.0178879961131315e-09,55.27930647475771,4.01291,3.093152336613284e-10,2.7739017879630206e-10,2.819612331751667e-10,14.495
2003/4/1 21:30,1.0821065917370803e-10,0.0,1.0449525689182337e-09,55.27930647580266,3.9864699999999997,3.1183964099253493e-10,2.7767362698170456e-10,2.7515425403629515e-10,14.495
2003/4/1 22:00,1.0130915050916623e-10,0.88930648,9.398348765898845e-10,54.389999996742496,3.9337799999999996,3.042346516569918e-10,2.708985958862657e-10,2.7850861960760595e-10,14.495
2003/4/1 22:30,1.0334989569055453e-10,0.0,9.223271035807556e-10,54.38999999766482,3.8810899999999995,3.2161278563233945e-10,2.8595903841846663e-10,2.6858593882891606e-10,14.495
2003/4/1 23:00,1.43075057352678e-10,0.0,1.5370217790344583e-09,54.38999999920185,3.8371499999999994,3.0625618945718787e-10,2.3727333324156996e-10,2.526349638024657e-10,14.495
2003/4/1 23:30,8.485500976540709e-11,0.0,7.981455496519629e-10,54.38999999999999,3.8064299999999998,2.2811518270300897e-10,1.9999911004920535e-10,2.781451511892343e-10,14.495
