Time,電圧上限値,電圧下限値,bus1の電圧,bus1の電圧上限違反値,bus1の電圧下限違反値,bus1の有効電力,bus1の電圧降下,bus2の電圧,bus2の電圧上限違反値,bus2の電圧下限違反値,bus2の有効電力,bus2の電圧降下,bus3の電圧,bus3の電圧上限違反値,bus3の電圧下限違反値,bus3の有効電力,bus3の電圧降下
2003/4/1 5:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.722271291061777e-15,-0.00014433150026604835,99.79975030501872,0,0,6.747109569052809e-15,-7.594189091264525e-05
2003/4/1 5:30,107.0,95.0,99.7999705784099,0,0,1.1368683772161603e-13,-2.9421590099332207e-05,99.79982624690965,0,0,5.684341886080802e-14,-0.0001443315002518375,99.79975030501873,0,0,3.197442310920451e-14,-7.594189091264525e-05
2003/4/1 6:00,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.716686263169803e-15,-0.00014433150026604835,99.79975030501872,0,0,6.738088911097157e-15,-7.594189091264525e-05
2003/4/1 6:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.7043306147970195e-15,-0.00014433150026604835,99.79975030501872,0,0,6.718120805948648e-15,-7.594189091264525e-05
2003/4/1 7:00,107.0,95.0,99.79997057840995,0,0,9.805489753489383e-13,-2.9421590042488788e-05,99.79982624690973,0,0,6.430411758628907e-13,-0.0001443315002234158,99.79975030501885,0,0,3.1796787425264483e-13,-7.594189088422354e-05
2003/4/1 7:30,107.0,95.0,99.79997057840995,0,0,1.0018652574217413e-12,-2.9421590042488788e-05,99.79982624690973,0,0,6.465938895416912e-13,-0.0001443315002234158,99.79975030501885,0,0,3.232969447708456e-13,-7.594189088422354e-05
2003/4/1 8:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.681101023120996e-15,-0.00014433150026604835,99.79975030501872,0,0,6.656827592099776e-15,-7.594189091264525e-05
2003/4/1 8:30,107.0,95.0,99.7999705784099,0,0,6.712514377091232e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.686746112461538e-15,-0.00014433150026604835,99.79975030501872,0,0,6.667203090453811e-15,-7.594189091264525e-05
2003/4/1 9:00,107.0,95.0,99.79997057840995,0,0,9.876544027065393e-13,-2.9421590042488788e-05,99.79982624690973,0,0,6.323830348264892e-13,-0.0001443315002234158,99.79975030501885,0,0,3.161915174132446e-13,-7.594189088422354e-05
2003/4/1 9:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.700425140458544e-15,-0.00014433150026604835,99.79975030501872,0,0,6.695164292170804e-15,-7.594189091264525e-05
2003/4/1 10:00,107.0,95.0,99.79997057840995,0,0,9.947598300641403e-13,-2.9421590042488788e-05,99.79982624690973,0,0,6.430411758628907e-13,-0.0001443315002234158,99.79975030501885,0,0,3.2152058793144533e-13,-7.594189088422354e-05
2003/4/1 10:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.701163514740814e-15,-0.00014433150026604835,99.79975030501872,0,0,6.696020650571338e-15,-7.594189091264525e-05
