DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/9/26 22:00,0.00916705,0,0,0.00078535,0.04462595,0.0819405,0.0081871,0.1527749,0,0.29748085
2003/9/26 22:30,0.00906975,0,0,0.0396011,0.0434931,0.0840672,0.01066825,0.19840165,0,0.38530105
2003/9/26 23:00,0.0091879,0,0,0.08197525,0.04584915,0.08228105,0.02185775,0.51530775,0,0.75645885
2003/9/26 23:30,0.0092157,0,0,0.0159711,0.0637454,0.0868472,0.0372937,0.5409324,0,0.7540055
2003/9/27 0:00,0.0092991,0,0,0.0007923,0.05076975,0.08816075,0.02488795,0.30830895,0,0.4822188
2003/9/27 0:30,0.00434375,0,0,0.0008062,0.0417695,0.08379615,0.30210955,0.2266812,0,0.65950635
2003/9/27 1:00,0.0030163,0,0,0.0007923,0.04450085,0.02718145,0.32742145,0.10807945,0,0.5109918
2003/9/27 1:30,0.0030163,0,0,0.0007923,0.0649686,0.0233381,0.3075931,0.07577585,0,0.47548425
2003/9/27 2:00,0.00306495,0,0,0.0007923,0.0519443,0.0233798,0.31706595,0.0704452,0,0.4666925
2003/9/27 2:30,0.0030302,0,0,0.0007923,0.0416861,0.02335895,0.3004207,0.06696325,0,0.4362515
2003/9/27 3:00,0.0030302,0,0,0.0008062,0.0396984,0.02334505,0.3138898,0.0696807,0,0.45045035
2003/9/27 3:30,0.00303715,0,0,0.0008062,0.06002715,0.02335895,0.3027003,0.06690765,0,0.4568374
2003/9/27 4:00,0.0030441,0,0,0.0007784,0.05931825,0.0233798,0.1290754,0.07006295,0,0.2856589
2003/9/27 4:30,0.00305105,0,0,0.0007923,0.04090075,0.0233659,0.0158877,0.06828375,0,0.15228145
2003/9/27 5:00,0.0030302,0,0,0.00078535,0.04080345,0.02335895,0.0142892,0.06785285,0,0.15012
2003/9/27 5:30,0.00302325,0,0,0.00078535,0.0841784,0.0234215,0.01490775,0.06864515,0,0.1949614
2003/9/27 6:00,0.0030302,0,0,0.00078535,0.0855128,0.0234076,0.01850785,0.06166735,0,0.19291115
2003/9/27 6:30,0.0030302,0,0,0.00077145,0.08090495,0.0233659,0.01153005,0.061021,0,0.18062355
2003/9/27 7:00,0.0030302,0,0,0.00078535,0.0393092,0.061021,0.0142197,0.057129,0,0.17549445
