Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
11,0.0,0.4103404490999999,99.77751456182449,2.8068602105263154,0,-0.13678014969999996,-0.13678014969999996,0.21392514969999998,0.077145,0.0,52.159444402999995,99.7569041501383,2.8068602105263154,0,-0.13678014969999996,-0.13678014969999996,0.21392514969999998,0.077145,0.0,52.159444402999995,99.74589396642101,2.8068602105263154,0,-0.13678014969999996,-0.13678014969999996,0.21392514969999998,0.077145,0.0,52.159444402999995
12,0.0,1.1080764174000002,99.73933073054313,2.8068602105263154,0,-0.3693588058000001,-0.3693588058000001,0.4680349058,0.0986761,0.0,52.159444402999995,99.68392014181579,2.8068602105263154,0,-0.3693588058000001,-0.3693588058000001,0.4680349058,0.0986761,0.0,52.159444402999995,99.65431755799489,2.8068602105263154,0,-0.3693588058000001,-0.3693588058000001,0.4680349058,0.0986761,0.0,52.159444402999995
13,0.0,1.6877462825999998,99.70760810574332,2.8068602105263154,0,-0.5625820941999999,-0.5625820941999999,0.7289650942,0.166383,0.0,52.159444402999995,99.62328598765403,2.8068602105263154,0,-0.5625820941999999,-0.5625820941999999,0.7289650942,0.166383,0.0,52.159444402999995,99.57823708237134,2.8068602105263154,0,-0.5625820941999999,-0.5625820941999999,0.7289650942,0.166383,0.0,52.159444402999995
14,0.0,0.7323577542000009,99.75989205846183,2.8068602105263154,0,-0.24411925140000032,-0.24411925140000032,0.9407108014000001,0.69659155,0.0,45.249096005999995,99.72322075879376,2.8068602105263154,0,-0.24411925140000032,-0.24411925140000032,0.9407108014000001,0.69659155,0.0,45.249096005999995,99.70362985851789,2.8068602105263154,0,-0.24411925140000032,-0.24411925140000032,0.9407108014000001,0.69659155,0.0,45.249096005999995
15,0.0,3.2202916470000025,99.62373905457797,2.8068602105263154,0,-1.073430549000001,-1.073430549000001,1.183289199,0.10985865,0.0,41.677291415999974,99.46297992818212,2.8068602105263154,0,-1.073430549000001,-1.073430549000001,1.183289199,0.10985865,0.0,41.677291415999974,99.37709366050679,2.8068602105263154,0,-1.073430549000001,-1.073430549000001,1.183289199,0.10985865,0.0,41.677291415999974
16,0.0,3.9714799080000005,99.58263002892683,2.8068602105263154,0,-1.3238266360000002,-1.3238266360000002,1.414093236,0.0902666,0.0,40.78798493599997,99.38440474676187,2.8068602105263154,0,-1.3238266360000002,-1.3238266360000002,1.414093236,0.0902666,0.0,40.78798493599997,99.27850174878141,2.8068602105263154,0,-1.3238266360000002,-1.3238266360000002,1.414093236,0.0902666,0.0,40.78798493599997
17,0.0,0.04282279200000394,99.79762708697608,3.5193602105263153,0,-0.014274264000001313,-0.014274264000001313,1.627906764,0.1136325,0.0,38.557429464999956,99.79534693216914,3.5193602105263153,0,-0.014274264000001313,-0.014274264000001313,1.627906764,0.1136325,0.0,38.557429464999956,99.79412990178832,3.5193602105263153,0,-0.014274264000001313,-0.014274264000001313,1.627906764,0.1136325,0.0,38.557429464999956
18,0.0,4.924407453000001,99.53048075433762,3.5193602105263153,0,-1.6414691510000001,-1.6414691510000001,1.795807801,0.15433865,0.0,36.32687399399995,99.28472739739934,3.5193602105263153,0,-1.6414691510000001,-1.6414691510000001,1.795807801,0.15433865,0.0,36.32687399399995,99.15343197163625,3.5193602105263153,0,-1.6414691510000001,-1.6414691510000001,1.795807801,0.15433865,0.0,36.32687399399995
19,0.0,5.613600297000001,99.49276444835478,3.5193602105263153,0,-1.8712000990000004,-1.8712000990000004,1.9481921990000002,0.0769921,0.0,36.32687399399995,99.21263700999265,3.5193602105263153,0,-1.8712000990000004,-1.8712000990000004,1.9481921990000002,0.0769921,0.0,36.32687399399995,99.0629768306747,3.5193602105263153,0,-1.8712000990000004,-1.8712000990000004,1.9481921990000002,0.0769921,0.0,36.32687399399995
20,0.0,6.005459199000001,99.4713198405377,3.5193602105263153,0,-2.001819733,-2.001819733,2.0673026329999997,0.0654829,0.0,36.32687399399995,99.17164810492802,3.5193602105263153,0,-2.001819733,-2.001819733,2.0673026329999997,0.0654829,0.0,36.32687399399995,99.01154615705987,3.5193602105263153,0,-2.001819733,-2.001819733,2.0673026329999997,0.0654829,0.0,36.32687399399995
