Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_H,V_DN
20,2.0673026329999997,0.0,0.0,0.0654829,2.001819733,0.0,0.0,3.5193602105263153,36.32687399399995,0,-2.001819733,-2.001819733,99.17164810492802,99.17164810492802
21,2.149197367,0.0,0.0,0.088126,0.011753723937268812,1.5,0.5493176430627315,4.231860210526316,44.426873993999955,1,-0.011753723937268812,-0.011753723937268812,99.79613788659293,99.79613788659293
22,2.186708495,0.0,0.0,0.07861145,1.275345788642248,0.4058858725728542,0.4268653837848979,4.424655999998421,52.06809871766662,1,-1.275345788642248,-1.275345788642248,99.3996182088498,99.3996182088498
23,2.187291505,0.0,0.0,0.05977,1.7029193340459943,0.0,0.42460217095400593,4.424655999998421,59.70932344133331,1,-1.7029193340459943,-1.7029193340459943,99.26544411170985,99.26544411170985
24,2.1437015390000003,0.0,0.0,0.07346845,1.6478695128508283,0.0,0.42236357614917197,4.424655999998421,67.35054816499998,1,-1.6478695128508283,-1.6478695128508283,99.28271894111867,99.28271894111867
25,2.077298461,0.0,0.0,0.1105467,1.9667517609999998,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.9667517609999998,-1.9667517609999998,99.18265255909085,99.18265255909085
26,1.996236854,0.0,0.0,0.12049215,1.8757447040000002,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.8757447040000002,-1.8757447040000002,99.21121089680283,99.21121089680283
27,1.860263146,0.0,0.0,0.1580569,1.7022062459999998,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.7022062459999998,-1.7022062459999998,99.26566788127133,99.26566788127133
28,1.686531921,0.0,0.0,0.1665776,1.5199543210000006,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.5199543210000006,-1.5199543210000006,99.32285918263166,99.32285918263166
29,1.494968079,0.0,0.0,0.1304515,1.364516579,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.364516579,-1.364516579,99.37163609813194,99.37163609813194
30,1.305648859,0.0,0.0,0.14734695,1.158301909,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.158301909,-1.158301909,99.43634699398062,99.43634699398062
31,1.0703511410000002,0.0,0.0,0.0855128,0.9848383410000001,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.9848383410000001,-0.9848383410000001,99.49078047770116,99.49078047770116
32,0.8373392128,0.0,0.0,0.0582132,0.7791260128,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.7791260128,-0.7791260128,99.55533373690882,99.55533373690882
33,0.5846607871999999,0.0,0.0,0.24111635,0.34354443719999994,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.34354443719999994,-0.34354443719999994,99.69202078236609,99.69202078236609
34,0.35288815970000004,0.0,0.0,0.1182751,0.23461305970000004,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.23461305970000004,-0.23461305970000004,99.72620383551188,99.72620383551188
35,0.17361184030000001,0.0,0.0,0.1521216,0.02149024030000002,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.02149024030000002,-0.02149024030000002,99.79308253317758,99.79308253317758
36,0.019920731709999997,0.0,0.15088941829,0.17081015,0.0,0.0,0.0,4.345240516687895,67.35054816499999,0,0.0,0.0,99.79982624690957,99.79982624690957
37,0.007079268293,0.0,0.16182658170699998,0.16890585,0.0,0.0,0.0,4.260068631578947,67.35054816499999,0,0.0,0.0,99.79982624690957,99.79982624690957
38,0.0,0.0,0.2009106,0.2009106,0.0,0.0,0.0,4.154326210526316,67.35054816499999,0,0.0,0.0,99.79982624690957,99.79982624690957
39,0.0,0.0,0.1788513,0.1788513,0.0,0.0,0.0,4.060193947368421,67.35054816499999,0,0.0,0.0,99.79982624690957,99.79982624690957
40,0.0,0.0,0.1290128500000005,0.12901285,0.0,0.0,0.0,3.9922924473684205,63.09354028199999,0,0.0,0.0,99.79982624690957,99.79982624690957
41,0.0,0.0,0.13862469999999938,0.1386247,0.0,0.0,0.0,3.919332078947368,60.19236018899999,0,0.0,0.0,99.79982624690957,99.79982624690957
42,0.0,0.0,0.09885680000000008,0.0988568,0.0,0.0,0.0,3.867302184210526,58.851111069999995,0,0.0,0.0,99.79982624690957,99.79982624690957
43,0.0,0.0,0.12177095,0.12177095,0.0,0.0,0.0,3.8032122105263153,55.279306479999995,0,0.0,0.0,99.79982624690957,99.79982624690957
44,0.0,0.0,0.11041465,0.11041465,0.0,0.0,0.0,3.7450992368421048,55.279306479999995,0,0.0,0.0,99.79982624690957,99.79982624690957
45,0.0,0.0,0.1011086,0.1011086,0.0,0.0,0.0,3.691884184210526,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
46,0.0,0.0,0.184175,0.184175,0.0,0.0,0.0,3.5949499736842103,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
47,0.0,0.0,0.4060885,0.4060885,0.0,0.0,0.0,3.381219184210526,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
48,0.0,0.0,0.43931645,0.43931645,0.0,0.0,0.0,3.15,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
