Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
11,0.0,1.2000553252579718,99.86570204996046,2.806860217168052,0,-0.1367801445717982,-0.1367801445717982,0.21392514969999998,0.077145,0.0,52.15944440299998,99.94538531078946,2.2935018455126546,0,-0.13678014457179813,-0.13678014457179813,0.21392514969999998,0.077145,0.0,52.15944440299998,100.01952462254715,2.3912208023522608,0,-0.9264950361143754,-0.9264950361143754,0.21392514969999998,0.077145,0.0,52.15944440299998
12,0.0,1.1080763917589966,99.86066853654593,2.8068602202129207,0,-0.3693587993897489,-0.3693587993897489,0.4680349058,0.0986761,0.0,52.15944440299998,99.91607157516825,2.293501850079958,0,-0.36935879618462397,-0.36935879618462397,0.4680349058,0.0986761,0.0,52.15944440299998,99.94567459696938,2.3912208069195646,0,-0.36935879618462375,-0.36935879618462375,0.4680349058,0.0986761,0.0,52.15944440299998
13,0.0,1.6877462569589952,99.89239075740122,2.80686022325779,0,-0.5625820877897486,-0.5625820877897486,0.7289650942,0.166383,0.0,52.15944440299998,99.97670394662076,2.293501854647262,0,-0.5625820845846233,-0.5625820845846233,0.7289650942,0.166383,0.0,52.15944440299998,100.0217528284859,2.3912208114868685,0,-0.5625820845846231,-0.5625820845846231,0.7289650942,0.166383,0.0,52.15944440299998
14,0.0,0.7323577285595267,99.84010747044782,2.8068602263026126,0,-0.24411924498984774,-0.24411924498984774,0.9407108014000001,0.69659155,0.0,45.24909600599998,99.87677211367064,2.293501859214463,0,-0.24411924178484004,-0.24411924178484004,0.9407108014000001,0.69659155,0.0,45.24909600599998,99.89636375098623,2.39122081605407,0,-0.24411924178483896,-0.24411924178483896,0.9407108014000001,0.69659155,0.0,45.24909600599998
15,0.0,3.8537039044404082,100.01092199557912,2.8068602287384987,0,-1.0734305438718192,-1.0734305438718192,1.183289199,0.10985865,-4.611647573193253e-16,41.677291415999974,100.2190542554046,2.2935018616503493,0,-1.0734305438718192,-1.0734305438718192,1.183289199,0.10985865,-4.611647573193253e-16,41.677291415999974,100.35557291449635,2.0578459383189283,0,-1.70684281669677,-1.70684281669677,1.183289199,0.10985865,-4.611647573193253e-16,41.677291415999974
16,0.0,3.9714798823591586,100.01736724279186,2.8068602317833515,0,-1.323826629589784,-1.323826629589784,1.414093236,0.0902666,-4.415265895244627e-16,40.787984935999965,100.21557816414814,2.293501866217623,0,-1.3238266263846874,-1.3238266263846874,1.414093236,0.0902666,-4.415265895244627e-16,40.787984935999965,100.32147932093571,2.0578459428862024,0,-1.3238266263846872,-1.3238266263846872,1.414093236,0.0902666,-4.415265895244627e-16,40.787984935999965
17,0.0,4.542822766359166,100.04863377265382,2.8068602348282026,0,-1.5142742575897876,-1.5142742575897876,1.627906764,0.1136325,-4.211207573435962e-16,38.557429464999956,100.27533954911766,2.293501870784896,0,-1.514274254384689,-1.514274254384689,1.627906764,0.1136325,-4.211207573435962e-16,38.557429464999956,100.39646468556093,2.0578459474534756,0,-1.5142742543846888,-1.5142742543846888,1.627906764,0.1136325,-4.211207573435962e-16,38.557429464999956
18,0.0,4.924407427358998,100.06951585333097,2.806860237873072,0,-1.6414691445897496,-1.6414691445897496,1.795807801,0.15433865,0.0,36.32687399399995,100.31525258288963,2.2935018753521996,0,-1.6414691413846243,-1.6414691413846243,1.795807801,0.15433865,0.0,36.32687399399995,100.44654540896144,2.057845952020779,0,-1.6414691413846243,-1.6414691413846243,1.795807801,0.15433865,0.0,36.32687399399995
19,0.0,5.613600271358999,100.10723167904791,2.8068602409179406,0,-1.8712000925897498,-1.8712000925897498,1.9481921990000002,0.0769921,0.0,36.32687399399995,100.38734085076156,2.293501879919503,0,-1.8712000893846248,-1.8712000893846248,1.9481921990000002,0.0769921,0.0,36.32687399399995,100.53699788181385,2.0578459565880824,0,-1.8712000893846246,-1.8712000893846246,1.9481921990000002,0.0769921,0.0,36.32687399399995
20,0.0,6.005459173358998,100.12867601379708,2.80686024396281,0,-2.0018197265897495,-2.0018197265897495,2.0673026329999997,0.0654829,0.0,36.32687399399995,100.4283285507084,2.2935018844868065,0,-2.0018197233846244,-2.0018197233846244,2.0673026329999997,0.0654829,0.0,36.32687399399995,100.58842703840436,2.057845961155386,0,-2.0018197233846244,-2.0018197233846244,2.0673026329999997,0.0654829,0.0,36.32687399399995
